,username,profile_link,rating,review_title,review_body
0,PinkSugar,https://amazon.com/gp/profile/amzn1.account.AFV4OG7LWUQPBNULLFQM2AU3MUAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0,My film was bad..none of the exposures came out right,All of this film was apparent bad and it’s so disappointing since you only get 8 exposures and it’s so expensive.  How do I get my money back??  I would like to try this again but I need a refund on the bad film first ;(
1,Liliana,https://amazon.com/gp/profile/amzn1.account.AHQGQ2KXTDQPMXTH2PQY3UZWCBFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0,Es un Robo!,"En la descripción pone que incluye 2 unidades para unas 16 fotos, pero yo solo recibí 1 unidad para 8 foto. Es imposible contactar al vendedor y en las opciones de atención al cliente no provee para esto. O devuelvo la unidad que recibí a la espera que me envíen las 2 por las que pague o me quedo con la mitad de mi compra y pierdo mi tiempo y mi dinero. Es muy molesto está situación.La entrega tardó muchísimo y llega incompleto.Tenía un proyecto pendiente y con esto se me ha arruinado. Si decido quedarme con la mitad de mi pedido estaré pagando mas de $2.25 por cada foto, es un ""ROBO"".Por otra pare la fecha en el empaque decía Junio 2020 lo cual es bueno. Supongo que dado a que está en fecha debe ser de una calidad promedio.Esto es profundamente decepcionante. 😞"
2,Jay F.,https://amazon.com/gp/profile/amzn1.account.AH6SIIA537Q5CYIOKXRYLLGGIIMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0,But straight from Polaroid.com,"I got a polaroid I-type camera for my birthday (didn't come with film but that's okay) and bought this as soon as I realized it didn't come with film. Got it a day after my birthday, which was really awesome. However, the box that the film came in was covered in this weird glue-type goop that had hair and a bunch of debris stuck to it. Really disgusting. I put the film into my camera and took a photo only to realize that the film was also expired. Just order from polaroid themselves, it's not worth it."
3,Anh Minh Nguyen,https://amazon.com/gp/profile/amzn1.account.AGVYXCQDZPMHCYL6WOC5BSSFB7FQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0,Should order from Polaroid website,"I got a Polaroid Now as a gift recently, so I can’t wait to take some pictures. My boyfriend bought the camera and a pack of film from the Polaroid website. The film pack came with it was recently produced, just a month away from the production date.I ordered my next pack of film right away from Amazon because of excitement. After seeing many reviews concerning about expired films, I got worried. The package arrived today, just in time for me to test it. I noticed that the production date is more than two months, older than what my boyfriend ordered from their website. The images came out great.Although the films are good, no concerns for now, moving forward I will order straight from their website to ensure the freshest patchs of exposure. Plus, they have a reward system so I can redeem coupons in the future."
4,iris,https://amazon.com/gp/profile/amzn1.account.AESBHYKHYWURVEDCCMSE7ZQLT47A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Just as described !,Product just as described! 5 packs. They were protected very well for shipping. All the dates on the film were 2020 so that’s great!
5,Alyssa,https://amazon.com/gp/profile/amzn1.account.AH27JNWEFWINOUMWNFWFX2657C5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Vintage af,These are so cute! Definitely have a vintage feel!
6,Eleanor vasquez,https://amazon.com/gp/profile/amzn1.account.AEMIJNRMCNNDNB7LEBZ4ONP573IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great quality.,Bought this along with the new Polaroid Now I-Type in green :) the film and picture quality is amazing and it’s great to know I’ll have pictures that will last and share with family and friends.
7,Trisha,https://amazon.com/gp/profile/amzn1.account.AEUN7DUQ2SBFJGBLEQ74L7UXGVBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2.0,Damn,"I purchased the 2 pack of film and both packs were defective and oozing photo developer everywhere :( super disappointing considering I spent $30 for 16 messed up photos. I didn't even consider checking the expiration date because I used the packs 3 days after I received them, so I assumed they would not be anywhere close to expiring."
8,Graham,https://amazon.com/gp/profile/amzn1.account.AF6FS4IVVWYGAKN7IIPY6RMCFQMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2.0,Defective batch,The last batch was defective. There were white striped patterns on every second picture and once two sheets came out and they were brown and black (s. The pics). I love polaroids but I want my money back for this purchase
9,Genevieve,https://amazon.com/gp/profile/amzn1.account.AHFQKCDRXJXNQI4WQVC5BNCPQYBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0,Expensive but I still enjoy it,"I wish they weren’t SO expensive. You have to use the entire thing, before switching. If you want to try a different color before it’s out, it will spit out one and waste it when you put it back in. A few of mine had discolored spots. Not to upset since it’s a vintage style picture anyways."
