,username,profile_link,rating,review_title,review_body
0,Alisheba,https://amazon.com/gp/profile/amzn1.account.AEED7EFYUDXACC2XVCBMIGHA4OOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,EXCELLENT personal blender!,"I received this today, the day my son decided he wanted to make a mocha freeze.  Perfect timing!  I have a heavy-duty blender that I love, but it is big, and I cannot leave it on my counter.  It's a bit of a nuisance to pull it out of the cabinet when I'm making a smoothie for just me.  This personal-sized blender is perfect for an individual drink (or two smaller drinks, using the larger mixing cup!).  I quickly made an orange drink slushy with about a cup of ice and a cup of water.  The ice was completely pulverized in just about ten seconds.  When my son made his mocha freeze, he ran it for about 20 seconds, and pulsed it a couple of times.  Both drinks were SUPER smooth!  I was very impressed with the blender's ability to blend the ice so finely!  The instructions say the unit may turn off if you let it run too long (maybe four minutes?), I don't know why it would take that long to blend anything, though!Before I used it, I quickly washed it with hot water and soap.  I was very pleasantly surprised that it cleaned up so very well after use, as well.  No greasy residue from the dairy in the mocha drink.  The plastic is perfectly clear, so you can always see what's going on in the cup while it is blending.To top it off, each of the blending cups come with a flip travel lid.  These DO NOT LEAK!!!  I've seen other brands of personal blenders that cost MUCH more...I'm glad I bought this one instead of one of those!  Why pay more if you don't have to?"
1,Teresa S.,https://amazon.com/gp/profile/amzn1.account.AHOWROIIEJFUMK4UY4DQTLL4G2HA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Works Pretty Good,"The blender works pretty good. The only thing is when I used some frozen strawberries and blueberries I had to blend twice to get it to not have any chunks. That is not bad for a compact blender like this. Also, I had to hit my cup a a few times and shake a little to make sure the contents were being blended properly. The blade seemed to nof blend it much so had to blend a 2nd time for under a minute like instructions state. Overall, not a bad blender. I like that it comes with 2 cups! The blender has 3 levels of blending is cool also. Not a bad purchase. Looking forward to take this when I travel. It is very like looking...the dark red."
2,Joanna Maz,https://amazon.com/gp/profile/amzn1.account.AFWPTLFXGDE3NABF5HJDTYQ5SVFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great small blender!,"I have a very small kitchen so when I look for kitchen appliances I look for the smallest and best ones for what I need. And this one fit just what I was looking for. The blender itself is a small size and doesn't have any extra cups you put on it along with having to pour it in another cup to drink out of. Huge plus because less space and even better less dishes! You just take it off, flip it right side up, unscrew it and put on the lid to drink out of and walk out the door. I used it to make milkshakes with fruit and I couldn't even get a picture of it in progress because I had 2 little kids excited and couldn't even take a picture after they were done because they drank it up within minutes. I love how there is a protector on the plug too helps keep it safe from water or anything else that night bend it. The different speeds are great to use it to get the consistency you want for what you are blending. I highly recommend this blendee!"
3,S. Kessler,https://amazon.com/gp/profile/amzn1.account.AFQC3CJXWVYPZFB4I4RLL6NIEATA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Highly Recommend this blender,"This is a fantastic blender. I could not be happier with this product. The blender was packaged very well and came with a large and small bottle and an extra gasket. A couple of summers ago, I made smoothies daily using a commercial grade blender. It is big and bulky and I no longer wanted it on my counter.  Yesterday, I took this blender out of the box, washed the components and proceeded to prepare a smoothie. This blender is fast. It is powerful. It crushes ice cubes easily! I used greens, fruit, greek yogurt, water and six ice cubes. I had a perfectly blended smoothie in less than one minute. I cleaned up the bottle and made a second one for my husband right away.Everything cleans up easily. The size is perfect and I can pop this in and out of a drawer readily. I cannot recommend this enough.  Comes with a two year warranty that can be extended with product registration. If you like smoothies, give this blender a try."
4,Jeff,https://amazon.com/gp/profile/amzn1.account.AHVNOCDJRPDUYJBGS3YCWNOJKBGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great little smoothie blender.,"Your browser does not support HTML5 video.


   Great little smoothie blender.  Perfect for one or two servings at a time.  Blends like the more expensive models.  Easy to clean and compact storage.  Highly recommended."
5,T. Tran,https://amazon.com/gp/profile/amzn1.account.AE6YY4RK7YXHV5VGFLFEL77CL3LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Awesome blender,"I like to make protein shake or just a smoothie.  But I admit I'm too lazy to get out my big blender each time then clean it afterwards.  I LOVE this blender! So convenient to use.  Just put everything in the stirring cup, blend,  then drink right from the stirring cup on the go. It's so nice that it's dishwasher safe,  too. This seriously saves so much of my time."
6,Sandopui,https://amazon.com/gp/profile/amzn1.account.AEKGLBP2QPCV5U6LXDUSJQAYZT4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Powerful and easy to use,"HadinEEon blender GS-651. Comes with two bottles: 10 oz / 300 ml, and 20 oz / 600 ml.The blender mixesthe smoothies well and quickly. Two speeds and  pulse options.3 year manufacturer warranty with product registration."
7,Linkybo,https://amazon.com/gp/profile/amzn1.account.AG47NTMMRJ2LK4ZQDHCDPB7XJSAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Little Power House,"This small machine can take the place of a much larger blender. It easily fits on the counter and looks much more expensive than it is with the matte red color. It’s easy to clean and has the same type of blade at the bottom, just like my huge, name brand blender, but I’ll actually use this! The time to assemble and clean the box blender made us not use it. This one will get daily use."
8,BRT,https://amazon.com/gp/profile/amzn1.account.AFWBAXM47YCI3HIA3XXJZCHQZ4EQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Small package with lots to offer.,"Compact: This small blender really packs a punch. It effortlessly blends frozen fruit for my smoothie. It did so at all speeds. Since it's compact, it stores very easily, though the matte burgundy body is attractive enough to leave out on the counter.Convenient: The handles on the bottle lids come in handy for portability. I make breakfast smoothies for the family early in the morning, and store the portable bottles in the fridge. They take up very little room.My only wish is that it came with more than two bottles. I'd love to be able to buy extra/replacement bottles. Hope that's will be available soon!"
9,Mark,https://amazon.com/gp/profile/amzn1.account.AFYLG4PAQHQUJ3OHCJJRTXIZPJGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great juicer,"Your browser does not support HTML5 video.


   This is very convenient and easy to use juicer.I got this juicer so I can make fresh fruit juice in the morning. Work perfectly.I like the color, and I like how it looks in the kitchen.It kind of keeps reminding me to make a fresh juice every morning.I'm posted some videos so you can see how it works."
10,"sungmin,Koh",https://amazon.com/gp/profile/amzn1.account.AHHV2TJAMOQIFDOLP2GEZY3X6PAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great product if you make smoothies daily.,"I purchased this blender for my daughter. I have a Nutri Ninja, and this is a rival. If I did not already have my blender, I would be buying this for myself as well. She was very happy with this one. One thing that used to keep me from making more protein smoothies is the fact that we had a full-sized blender and I hated having to wash it after each use. I do not always have enough dishes to run the dishwasher daily, so I would end up hand washing the glass container & it was a pain. This morning, I added crushed ice, water, chocolate protein powder, a banana, & almond butter and pressed the button. Within seconds, it was all blended perfectly and ready to drink. They do not leak at all. I'm impressed that the rubber grommets are easy to remove to easily clean. And it came with spare grommets too! After it was finished, I removed the cup from the base and drank my drink. I am really surprised at how powerful it is for being small. Great product if you make smoothies daily."
