,username,profile_link,rating,review_title,review_body
0,Anh Minh Nguyen,https://amazon.com/gp/profile/amzn1.account.AGVYXCQDZPMHCYL6WOC5BSSFB7FQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Should order from Polaroid website,"I got a Polaroid Now as a gift recently, so I can’t wait to take some pictures. My boyfriend bought the camera and a pack of film from the Polaroid website. The film pack came with it was recently produced, just a month away from the production date.I ordered my next pack of film right away from Amazon because of excitement. After seeing many reviews concerning about expired films, I got worried. The package arrived today, just in time for me to test it. I noticed that the production date is more than two months, older than what my boyfriend ordered from their website. The images came out great.Although the films are good, no concerns for now, moving forward I will order straight from their website to ensure the freshest patchs of exposure. Plus, they have a reward system so I can redeem coupons in the future."
1,iris,https://amazon.com/gp/profile/amzn1.account.AESBHYKHYWURVEDCCMSE7ZQLT47A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Just as described !,Product just as described! 5 packs. They were protected very well for shipping. All the dates on the film were 2020 so that’s great!
2,Alyssa,https://amazon.com/gp/profile/amzn1.account.AH27JNWEFWINOUMWNFWFX2657C5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Vintage af,These are so cute! Definitely have a vintage feel!
3,Eleanor vasquez,https://amazon.com/gp/profile/amzn1.account.AEMIJNRMCNNDNB7LEBZ4ONP573IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great quality.,Bought this along with the new Polaroid Now I-Type in green :) the film and picture quality is amazing and it’s great to know I’ll have pictures that will last and share with family and friends.
4,Genevieve,https://amazon.com/gp/profile/amzn1.account.AHFQKCDRXJXNQI4WQVC5BNCPQYBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Expensive but I still enjoy it,"I wish they weren’t SO expensive. You have to use the entire thing, before switching. If you want to try a different color before it’s out, it will spit out one and waste it when you put it back in. A few of mine had discolored spots. Not to upset since it’s a vintage style picture anyways."
5,J. Kruse,https://amazon.com/gp/profile/amzn1.account.AHVITRMQ6OWB6D6VC4X5MWASSBJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Don’t buy here!,"This film is great, and you can get some really cool shots with it - however, you should buy it directly from Polaroid! Amazon sent me a pack that was months old, had not been stored properly, and the box looked like it had been smashed in transit (they packed it in a bubble envelope). This resulted in photos that came out washed out and did not develop evenly. Worst of all, a couple shots leaked chemicals all over the inside of the camera. So 5 stars for the film generally, zero stars for Amazon’s ability to properly sell it."
6,Bri Warriax,https://amazon.com/gp/profile/amzn1.account.AGCKUZX5B3QETOPZRYLK7VC6TW5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Love it!,Defiantly will be buying more. The colors are so vibrant and beautiful
7,Danielle,https://amazon.com/gp/profile/amzn1.account.AHYWD7GRS4ZBEQE4Q4PUJK5DKXSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Good photo,Picture quality is good for a Polaroid. I like the concept of a Polaroid more than the picture quality. Make sure you have good lighting and you hide it from light directly after and you get a good picture.
8,Carla,https://amazon.com/gp/profile/amzn1.account.AEP3NSNH4ECVQ2TUGLAUX2YZKYGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Metallic color upgrade!,These are not cheap but the metallic color is such an upgrade from the typical plain white! We used this to rise Polaroids at our destination wedding and it was perfect.
9,Serenity,https://amazon.com/gp/profile/amzn1.account.AHKBSUPLYXLSKZZ7IIO2URSCZLMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great buy if you're a Star wars fan !,So happy I able to get this in time. Literally within 24hrs of ordering. I can't wait to take them on my trip. It's a nice aesthetic to my v cosplay star wars  V day party.
10,Nina,https://amazon.com/gp/profile/amzn1.account.AEINYTICTJRCIY5ZZPNLOAESZG5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great pics instantly,My grandaughter always asks me to get these for her. So I do. This double pak is a great value . She says they take awesome  pictures or all her friends up at coll.
11,Adam,https://amazon.com/gp/profile/amzn1.account.AGL3Q4TU5UMES5FVW34IUEBLHLPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great pop of color for your photo frames,These frames are the best. They really make the pictures pop. It comes out in a random order but I haven't found any colors I don't like. Worth the money.
12,daphnedoobeedoo,https://amazon.com/gp/profile/amzn1.account.AFKGD4F6H2Q5EJ45VNQGD6LWKUBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Bad packaging,"The best value for me. However, I was upset that the packaging seemed like it was beaten down. I didn’t return it though because I needed to capture some memories for my daughter’s birthday. Some films has a bad print, I just kept the good ones."
13,jim stucki,https://amazon.com/gp/profile/amzn1.account.AELNKBSZH7PBTO3JEYPWMFUAYTEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,kodak I film,"This film works as expected Ir u buy a one shot instant camera dont expect top quality photos Only expect convenience,  This film is fine ,use as directed"
14,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AG4HSR47K3JVOE74UKAO7XIJE2MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Film is good but pricey!,"The Polaroid film was good and seemed authentic, but it is very pricey.  No complaints about the product, but will not use as often as I would like because of cost."
15,Marc Cross,https://amazon.com/gp/profile/amzn1.account.AHFZFUAVR7O2QMKBYW6Z6WD3OUDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Amazing quality with a different take on traditional Polaroids.,"I really enjoyed this package of film, gives a different feel and I have bought two more orders of it. Cannot wait to use the film!"
16,jasmen Davoodimasihi,https://amazon.com/gp/profile/amzn1.account.AHGTICXC37ZJZY4AAWKHSB3H6NEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Very simple and easy to use,I can take a picture like vintage still it is easy fast and very helpful the simple quality thank you
17,Ivan,https://amazon.com/gp/profile/amzn1.account.AFVRHV3ISGNQ25WS2MEOJQFNT3EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good pics,Light sensitive
18,S. Chandler,https://amazon.com/gp/profile/amzn1.account.AE7QK7U3LK52T5SEFFKLMWPLGE4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Green Hue,Pictures are good but come out with a green hue. Definitely better than instax mini
19,bee,https://amazon.com/gp/profile/amzn1.account.AEM4EQLXKKMR73TFRJGJPADM4I7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good quality,Love how my pictures come out ! Leaves them looking vintage. I already bought this product twice . Might just have to place a bigger purchase (:
20,Sammy Toke,https://amazon.com/gp/profile/amzn1.account.AE4PL7BXG5D7NSTD4WMZ63PMHGFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great quality,Little better pricing than what’s at Walmart but same great quality
21,Cely,https://amazon.com/gp/profile/amzn1.account.AGYCDVTXXKYSHOZLKU7XIO32RZMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good,"Good product. I can’t figure out if the color is like this normally or if I can’t figure out the camera to get it brighter. They Polaroid is cute. I’ve only used 1 packet, so hopefully they’re all good and work well."
22,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AGE5KCLXWHR4UJB672PZKUIAJY7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great film!,"I was a bit worried from all the reviews I was going to get bad film, but everything was fine! My film was produced on 10/20 so it still had some time before it expired."
23,Ashley Kahliyah,https://amazon.com/gp/profile/amzn1.account.AFWZNVQJSYN3SGOJD2GS5IFVGCEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Classic Polaroid,Classic Polaroid. Worked perfectly.
24,Melissa,https://amazon.com/gp/profile/amzn1.account.AFZ665RJKREMYINLLHEQ2RNYCZYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,C-,Film didnt take very good pics.
25,Dakota,https://amazon.com/gp/profile/amzn1.account.AGGCMQKIOJWPS2LDMLJJVYBSVBCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Eh they r okay,These r always overpriced but they worked well
26,Christina Pastrano,https://amazon.com/gp/profile/amzn1.account.AHEZVD3VSY2UROS7DEEARACBFQQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Loves these pics,Great price great product
27,Morgan,https://amazon.com/gp/profile/amzn1.account.AEVGDKU3E2CH4FQLZZ3G7JPKAAIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Super Fun Colors,I love the wave patterns and it's a super fun spin on the product.
28,Tracy,https://amazon.com/gp/profile/amzn1.account.AF6XCCS274NEA6QF2NOOK4RRIP5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Very Pretty,And the colors are cool.
29,Jio,https://amazon.com/gp/profile/amzn1.account.AHLZQMTVNPUHDLB5SXRZX3QB6FFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Awesome,Amazing variety to my photos.
30,Marianggny,https://amazon.com/gp/profile/amzn1.account.AEEUL44TTIUJBT6DPZS2RSWHAJSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Las mejores fotos,Súper buenas
